label,function_id,quality,pc1,pc2
C:major,0,major,1.907380,4.357091
C:minor,0,minor,1.218639,-1.489260
C:diminished,2,diminished,1.181368,1.759110
C:augmented,0,augmented,-2.529087,-0.735743
C:dominant7,2,dominant7,-0.610728,-2.415022
C#:major,0,major,1.631054,0.907317
C#:minor,0,minor,-0.546600,-2.151116
C#:diminished,2,diminished,-1.642380,1.880873
C#:augmented,0,augmented,2.038534,-1.294454
C#:dominant7,2,dominant7,0.424064,-2.072355
D:major,0,major,-0.078005,0.583224
D:minor,0,minor,0.095253,2.259761
D:diminished,2,diminished,-1.380168,0.966206
D:augmented,0,augmented,-2.895197,0.295865
D:dominant7,2,dominant7,0.279544,0.432294
Eb:major,0,major,1.239353,-0.200484
Eb:minor,0,minor,-0.200623,-2.934796
Eb:diminished,2,diminished,1.757634,1.522899
Eb:augmented,0,augmented,1.181793,1.330689
Eb:dominant7,2,dominant7,3.030463,0.734251
E:major,0,major,5.510859,-1.192815
E:minor,0,minor,-2.282576,0.786724
E:diminished,2,diminished,-3.974889,1.707370
E:augmented,0,augmented,0.962626,-1.292665
E:dominant7,2,dominant7,1.802168,-1.212801
F:major,0,major,0.137079,-2.859872
F:minor,0,minor,3.396618,3.014071
F:diminished,2,diminished,-0.079131,-1.643101
F:augmented,0,augmented,0.874590,2.907976
F:dominant7,2,dominant7,0.443120,-0.629346
F#:major,0,major,1.293737,0.190714
F#:minor,0,minor,-0.709024,2.910922
F#:diminished,2,diminished,1.507246,-0.134648
F#:augmented,0,augmented,0.454466,-0.330474
F#:dominant7,2,dominant7,3.620665,-2.326614
G:major,0,major,-4.177989,-0.403772
G:minor,0,minor,-0.671345,1.245460
G:diminished,2,diminished,-0.380301,-4.040704
G:augmented,0,augmented,0.062135,-0.586546
G:dominant7,2,dominant7,-1.393007,-3.511647
Ab:major,0,major,-2.542249,1.564846
Ab:minor,0,minor,1.959596,-1.499419
Ab:diminished,2,diminished,-3.177288,-2.194157
Ab:augmented,0,augmented,0.806288,1.889220
Ab:dominant7,2,dominant7,-0.048450,2.160579
A:major,0,major,-2.217279,-0.047287
A:minor,0,minor,-2.419975,0.645000
A:diminished,2,diminished,0.263697,-1.329285
A:augmented,0,augmented,0.927615,2.374778
A:dominant7,2,dominant7,-1.751466,-1.337692
Bb:major,0,major,-3.975019,-0.724277
Bb:minor,0,minor,0.887459,-2.535099
Bb:diminished,2,diminished,-1.267129,3.086143
Bb:augmented,0,augmented,1.677319,0.110097
Bb:dominant7,2,dominant7,0.133509,-1.272335
B:major,0,major,1.733456,0.059909
B:minor,0,minor,-0.993255,3.939551
B:diminished,2,diminished,-0.584028,1.400705
B:augmented,0,augmented,-2.666651,-0.726538
B:dominant7,2,dominant7,0.754517,-1.899328
